"parameter_cd","group","parm_nm","epa_equivalence","result_statistical_basis","result_time_basis","result_weight_basis","result_particle_size_basis","result_sample_fraction","result_temperature_basis","CASRN","SRSName","parm_unit"
"49255","Inorganics, Minor, Metals","Silver, biota, tissue, recoverable, dry weight, milligrams per kilogram","Agree","","","Dry","","Recoverable","","7440-22-4","Silver","mg/kg"
"49257","Radiochemical","Uranium, biota, tissue, recoverable, dry weight, milligrams per kilogram","Agree","","","Dry","","Recoverable","","7440-61-1","Uranium","mg/kg"
"49258","Inorganics, Minor, Metals","Mercury, biota, tissue, recoverable, dry weight, milligrams per kilogram","Agree","","","Dry","","Recoverable","","7439-97-6","Mercury","mg/kg"
"49261","Information","alpha-HCH-d6, surrogate, biota, whole organism, percent recovery","Not agree","","","","","","","86194-41-4"," ","%"
"49264","Information","PCB congener 14, surrogate, biota, whole organism, percent recovery","Agree","","","","","","","34883-41-5"," ","%"
"49266","Organics, Other","Organic carbon, bed sediment smaller than 62.5 microns, wet sieved (native water), field, recoverable, dry weight, percent","Not agree","","","Dry","< 62.5 microns","Bed Sediment",""," ","Organic carbon","%"
"49267","Inorganics, Major, Non-metals","Carbon [inorganic plus organic], bed sediment smaller than 62.5 microns, wet sieved (native water), field, recoverable, dry weight, percent","Not agree","","","Dry","< 62.5 microns","Bed Sediment","","7440-44-0","Total Carbon","%"
"49269","Inorganics, Major, Non-metals","Inorganic carbon, bed sediment smaller than 62.5 microns, wet sieved (native water), field, recoverable, dry weight, percent","Not agree","","","Dry","< 62.5 microns","Bed Sediment",""," ","Inorganic carbon","%"
"49270","Inorganics, Major, Non-metals","Inorganic carbon, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, grams per kilogram","Not agree","","","Dry","< 2 mm","Bed Sediment",""," ","Inorganic carbon","g/kg"
"49271","Organics, Other","Organic carbon, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, grams per kilogram","Not agree","","","Dry","< 2 mm","Bed Sediment",""," ","Organic carbon","g/kg"
"49272","Inorganics, Major, Non-metals","Carbon [inorganic plus organic], bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, grams per kilogram","Not agree","","","Dry","< 2 mm","Bed Sediment","","7440-44-0","Total Carbon","g/kg"
"49273","Biological","Water present, biota, tissue, recoverable, dry weight, percent","Not agree","","","Dry","","Recoverable",""," "," ","%"
"49274","Inorganics, Minor, Metals","Titanium, bed sediment smaller than 62.5 microns, wet sieved (native water), field, recoverable, dry weight, percent","Not agree","","","Dry","< 62.5 microns","Bed Sediment","","7440-32-6","Titanium","%"
"49275","Information","alpha-HCH-d6, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery","Not agree","","","","< 2 mm","Bed Sediment","","86194-41-4"," ","%"
