"","file","type","description"
"graphics","graphics/demo_baseflow","directory","directory for graphics generated by the demo_baseflow.R script"
"initial","graphics/demo_baseflow/initial_big_c_nr_emigrant.png","PNG graphic","hydrograph of USGS discharge at the demo catchment"
"alpha_bf","graphics/demo_baseflow/alpha_bf_big_c_nr_emigrant.png","PNG graphic","SWAT+ hydrograph showing a range of ""alpha_bf"" values"
"dep_wt","graphics/demo_baseflow/dep_wt_big_c_nr_emigrant.png","PNG graphic","SWAT+ hydrograph showing a range of ""dep_wt"" values"
"flo_min","graphics/demo_baseflow/flo_min_big_c_nr_emigrant.png","PNG graphic","SWAT+ hydrograph showing a range of ""flo_min"" values"
"rchg_dp","graphics/demo_baseflow/rchg_dp_big_c_nr_emigrant.png","PNG graphic","SWAT+ hydrograph showing a range of ""rchg_dp"" values"
"revap","graphics/demo_baseflow/revap_big_c_nr_emigrant.png","PNG graphic","SWAT+ hydrograph showing a range of ""revap"" values"
"revap_min","graphics/demo_baseflow/revap_min_big_c_nr_emigrant.png","PNG graphic","SWAT+ hydrograph showing a range of ""revap_min"" values"
"metadata","data/demo_baseflow_metadata.csv","CSV","list of files written by demo_baseflow.R"
