"","file","type","description"
"snotel.csv","data/source/snotel_sites.csv","CSV table","metadata list for SNOTEL sites (unchanged)"
"snotel","data/prepared/snotel_sites.rds","R sf object","sfc object with SNOTEL sensor locations in UYRW"
"ghcnd.csv","data/source/ghcnd_sites.csv","CSV table","metadata list for GHCND sites (unchanged)"
"ghcnd","data/prepared/ghcnd_sites.rds","R sf object","sfc object with GHCN Daily sensor locations in UYRW"
"boundary_padded","data/prepared/uyrw_boundary_padded.rds","R sf object","padded watershed boundary polygon for querying nearby weather stations"
"img_weatherstation","graphics/weatherstation_sites.png","png graphic","image of SNOTEL and GHCND site locations in the UYRW"
